Commodity,Date,Unit,Minimum,Maximum,Average
Red Cabbbage,2015-03-11,Kg,100.0,110.0,105.0
Lettuce,2015-03-11,Kg,80.0,90.0,85.0
Knolkhol,2015-03-11,Kg,30.0,35.0,32.5
Celery,2015-03-11,Kg,110.0,120.0,115.0
Parseley,2015-03-11,Kg,160.0,170.0,165.0
Fennel Leaf,2015-03-11,Kg,55.0,60.0,57.5
Mint,2015-03-11,Kg,190.0,200.0,195.0
Turnip A,2015-03-11,Kg,55.0,60.0,57.5
Tamarind,2015-03-11,Kg,110.0,120.0,115.0
Bamboo Shoot,2015-03-11,Kg,60.0,70.0,65.0
Tofu,2015-03-11,Kg,80.0,90.0,85.0
Apple(Jholey),2015-03-11,Kg,90.0,100.0,95.0
Banana,2015-03-11,Doz,70.0,80.0,75.0
Lime,2015-03-11,Kg,300.0,400.0,350.0
Pomegranate,2015-03-11,Kg,200.0,210.0,205.0
Grapes(Green),2015-03-11,Kg,80.0,90.0,85.0
Orange(Nepali),2015-03-11,Kg,70.0,80.0,75.0
Water Melon(Green),2015-03-11,Kg,45.0,50.0,47.5
Sweet Orange,2015-03-11,Kg,70.0,80.0,75.0
Pineapple,2015-03-11,1 Pc,80.0,90.0,85.0
Cucumber(Local),2015-03-11,Kg,45.0,50.0,47.5
Jack Fruit,2015-03-11,Kg,80.0,90.0,85.0
Papaya(Nepali),2015-03-11,Kg,45.0,50.0,47.5
Mombin,2015-03-11,Kg,40.0,50.0,45.0
Sugarcane,2015-03-11,1 Pc,40.0,45.0,42.5
Kinnow,2015-03-11,Kg,50.0,60.0,55.0
Ginger,2015-03-11,Kg,70.0,80.0,75.0
Chilli Dry,2015-03-11,Kg,190.0,200.0,195.0
Chilli Green,2015-03-11,Kg,45.0,50.0,47.5
Capsicum,2015-03-11,Kg,60.0,70.0,65.0
Garlic Green,2015-03-11,Kg,55.0,60.0,57.5
Coriander Green,2015-03-11,Kg,35.0,40.0,37.5
Garlic Dry Chinese,2015-03-11,Kg,130.0,135.0,132.5
Garlic Dry Nepali,2015-03-11,Kg,90.0,100.0,95.0
Clive Dry,2015-03-11,Kg,110.0,120.0,115.0
Clive Green,2015-03-11,Kg,100.0,110.0,105.0
Fish Fresh,2015-03-11,Kg,210.0,220.0,215.0
Tomato Big(Nepali),2015-03-12,Kg,35.0,45.0,40.0
Tomato Small(Local),2015-03-12,Kg,30.0,36.0,33.0
Potato Red,2015-03-12,Kg,18.0,20.0,19.0
Potato White,2015-03-12,Kg,16.0,17.0,16.5
Onion Dry (Indian),2015-03-12,Kg,36.0,38.0,37.0
Carrot(Local),2015-03-12,Kg,20.0,24.0,22.0
Cabbage(Local),2015-03-12,Kg,12.0,14.0,13.0
Cauli Local,2015-03-12,Kg,14.0,16.0,15.0
Cauli Terai,2015-03-12,Kg,8.0,10.0,9.0
Raddish Red,2015-03-12,Kg,30.0,32.0,31.0
Raddish White(Local),2015-03-12,Kg,12.0,14.0,13.0
Brinjal Long,2015-03-12,Kg,35.0,40.0,37.5
Brinjal Round,2015-03-12,Kg,40.0,45.0,42.5
Green Peas,2015-03-12,Kg,58.0,60.0,59.0
French Bean(Local),2015-03-12,Kg,75.0,80.0,77.5
Sword Bean,2015-03-12,Kg,80.0,90.0,85.0
Bitter Gourd,2015-03-12,Kg,100.0,110.0,105.0
Bottle Gourd,2015-03-12,Kg,40.0,45.0,42.5
Pointed Gourd(Local),2015-03-12,Kg,110.0,120.0,115.0
Pumpkin,2015-03-12,Kg,28.0,30.0,29.0
Squash(Long),2015-03-12,Kg,20.0,22.0,21.0
Okara,2015-03-12,Kg,110.0,120.0,115.0
Barela,2015-03-12,Kg,22.0,24.0,23.0
Arum,2015-03-12,Kg,36.0,40.0,38.0
Christophine,2015-03-12,Kg,28.0,30.0,29.0
Brd Leaf Mustard,2015-03-12,Kg,20.0,25.0,22.5
Spinach Leaf,2015-03-12,Kg,50.0,60.0,55.0
Cress Leaf,2015-03-12,Kg,50.0,60.0,55.0
Mustard Leaf,2015-03-12,Kg,25.0,30.0,27.5
Fenugreek Leaf,2015-03-12,Kg,50.0,60.0,55.0
Onion Green,2015-03-12,Kg,30.0,32.0,31.0
Yam,2015-03-12,Kg,30.0,32.0,31.0
Mushroom(Kanya),2015-03-12,Kg,90.0,100.0,95.0
Brocauli,2015-03-12,Kg,50.0,60.0,55.0
Sugarbeet,2015-03-12,Kg,50.0,55.0,52.5
Red Cabbbage,2015-03-12,Kg,100.0,110.0,105.0
Lettuce,2015-03-12,Kg,200.0,250.0,225.0
Knolkhol,2015-03-12,Kg,30.0,35.0,32.5
Celery,2015-03-12,Kg,110.0,120.0,115.0
Parseley,2015-03-12,Kg,160.0,170.0,165.0
Fennel Leaf,2015-03-12,Kg,55.0,60.0,57.5
Mint,2015-03-12,Kg,190.0,200.0,195.0
Turnip A,2015-03-12,Kg,55.0,60.0,57.5
Tamarind,2015-03-12,Kg,110.0,120.0,115.0
Bamboo Shoot,2015-03-12,Kg,60.0,70.0,65.0
Tofu,2015-03-12,Kg,80.0,90.0,85.0
Gundruk,2015-03-12,Kg,170.0,180.0,175.0
Apple(Jholey),2015-03-12,Kg,100.0,110.0,105.0
Banana,2015-03-12,Doz,70.0,80.0,75.0
Lime,2015-03-12,Kg,300.0,400.0,350.0
Pomegranate,2015-03-12,Kg,200.0,210.0,205.0
Grapes(Green),2015-03-12,Kg,90.0,100.0,95.0
Orange(Nepali),2015-03-12,Kg,70.0,80.0,75.0
Water Melon(Green),2015-03-12,Kg,45.0,50.0,47.5
Sweet Orange,2015-03-12,Kg,70.0,80.0,75.0
Pineapple,2015-03-12,1 Pc,80.0,90.0,85.0
Cucumber(Local),2015-03-12,Kg,45.0,50.0,47.5
Papaya(Nepali),2015-03-12,Kg,45.0,50.0,47.5
Mombin,2015-03-12,Kg,40.0,45.0,42.5
Sugarcane,2015-03-12,1 Pc,40.0,45.0,42.5
Kinnow,2015-03-12,Kg,50.0,60.0,55.0
Ginger,2015-03-12,Kg,70.0,80.0,75.0
Chilli Dry,2015-03-12,Kg,190.0,200.0,195.0
Chilli Green,2015-03-12,Kg,45.0,50.0,47.5
Capsicum,2015-03-12,Kg,60.0,70.0,65.0
Garlic Green,2015-03-12,Kg,55.0,60.0,57.5
Coriander Green,2015-03-12,Kg,35.0,40.0,37.5
Garlic Dry Chinese,2015-03-12,Kg,130.0,135.0,132.5
Garlic Dry Nepali,2015-03-12,Kg,90.0,100.0,95.0
Clive Dry,2015-03-12,Kg,110.0,120.0,115.0
Clive Green,2015-03-12,Kg,100.0,110.0,105.0
Fish Fresh,2015-03-12,Kg,200.0,220.0,210.0
Tomato Big(Nepali),2015-03-13,Kg,40.0,45.0,42.5
Tomato Small(Local),2015-03-13,Kg,30.0,36.0,33.0
Potato Red,2015-03-13,Kg,18.0,20.0,19.0
Potato White,2015-03-13,Kg,15.0,16.0,15.5
Onion Dry (Indian),2015-03-13,Kg,36.0,38.0,37.0
Carrot(Local),2015-03-13,Kg,20.0,25.0,22.5
Cabbage(Local),2015-03-13,Kg,12.0,14.0,13.0
Cauli Local,2015-03-13,Kg,14.0,16.0,15.0
Cauli Terai,2015-03-13,Kg,10.0,12.0,11.0
Raddish Red,2015-03-13,Kg,30.0,32.0,31.0
Raddish White(Local),2015-03-13,Kg,12.0,14.0,13.0
Brinjal Long,2015-03-13,Kg,35.0,40.0,37.5
Brinjal Round,2015-03-13,Kg,40.0,45.0,42.5
Green Peas,2015-03-13,Kg,58.0,60.0,59.0
French Bean(Local),2015-03-13,Kg,70.0,78.0,74.0
Sword Bean,2015-03-13,Kg,80.0,90.0,85.0
Bitter Gourd,2015-03-13,Kg,100.0,110.0,105.0
Bottle Gourd,2015-03-13,Kg,40.0,45.0,42.5
Pointed Gourd(Local),2015-03-13,Kg,110.0,120.0,115.0
Pumpkin,2015-03-13,Kg,28.0,30.0,29.0
Squash(Long),2015-03-13,Kg,20.0,22.0,21.0
Okara,2015-03-13,Kg,110.0,120.0,115.0
Barela,2015-03-13,Kg,22.0,24.0,23.0
Arum,2015-03-13,Kg,36.0,40.0,38.0
Christophine,2015-03-13,Kg,28.0,30.0,29.0
Brd Leaf Mustard,2015-03-13,Kg,20.0,25.0,22.5
Spinach Leaf,2015-03-13,Kg,50.0,60.0,55.0
Cress Leaf,2015-03-13,Kg,50.0,60.0,55.0
Mustard Leaf,2015-03-13,Kg,25.0,30.0,27.5
Fenugreek Leaf,2015-03-13,Kg,50.0,60.0,55.0
Onion Green,2015-03-13,Kg,30.0,32.0,31.0
Yam,2015-03-13,Kg,30.0,32.0,31.0
Mushroom(Kanya),2015-03-13,Kg,90.0,100.0,95.0
Brocauli,2015-03-13,Kg,50.0,60.0,55.0
Sugarbeet,2015-03-13,Kg,50.0,60.0,55.0
Bauhania flower,2015-03-13,Kg,200.0,250.0,225.0
Red Cabbbage,2015-03-13,Kg,100.0,110.0,105.0
Lettuce,2015-03-13,Kg,80.0,90.0,85.0
Knolkhol,2015-03-13,Kg,30.0,35.0,32.5
Celery,2015-03-13,Kg,110.0,120.0,115.0
Parseley,2015-03-13,Kg,160.0,170.0,165.0
Mint,2015-03-13,Kg,190.0,200.0,195.0
Turnip A,2015-03-13,Kg,55.0,60.0,57.5
Tamarind,2015-03-13,Kg,110.0,120.0,115.0
Bamboo Shoot,2015-03-13,Kg,60.0,70.0,65.0
Tofu,2015-03-13,Kg,80.0,90.0,85.0
Gundruk,2015-03-13,Kg,170.0,180.0,175.0
Apple(Jholey),2015-03-13,Kg,100.0,110.0,105.0
Banana,2015-03-13,Doz,70.0,80.0,75.0
Lime,2015-03-13,Kg,300.0,400.0,350.0
Pomegranate,2015-03-13,Kg,200.0,210.0,205.0
Grapes(Green),2015-03-13,Kg,90.0,100.0,95.0
Orange(Nepali),2015-03-13,Kg,70.0,80.0,75.0
Water Melon(Green),2015-03-13,Kg,45.0,50.0,47.5
Sweet Orange,2015-03-13,Kg,70.0,80.0,75.0
Pineapple,2015-03-13,1 Pc,80.0,90.0,85.0
Cucumber(Local),2015-03-13,Kg,45.0,50.0,47.5
Papaya(Nepali),2015-03-13,Kg,45.0,50.0,47.5
Mombin,2015-03-13,Kg,40.0,45.0,42.5
Sugarcane,2015-03-13,1 Pc,40.0,45.0,42.5
Kinnow,2015-03-13,Kg,50.0,60.0,55.0
Ginger,2015-03-13,Kg,70.0,80.0,75.0
Chilli Dry,2015-03-13,Kg,190.0,200.0,195.0
Chilli Green,2015-03-13,Kg,45.0,50.0,47.5
Capsicum,2015-03-13,Kg,60.0,70.0,65.0
Garlic Green,2015-03-13,Kg,55.0,60.0,57.5
Coriander Green,2015-03-13,Kg,35.0,40.0,37.5
Garlic Dry Chinese,2015-03-13,Kg,130.0,135.0,132.5
Garlic Dry Nepali,2015-03-13,Kg,90.0,100.0,95.0
Clive Dry,2015-03-13,Kg,110.0,120.0,115.0
Clive Green,2015-03-13,Kg,100.0,110.0,105.0
Fish Fresh,2015-03-13,Kg,210.0,220.0,215.0
Tomato Big(Nepali),2015-03-14,Kg,40.0,45.0,42.5
Tomato Small(Local),2015-03-14,Kg,30.0,35.0,32.5
Potato Red,2015-03-14,Kg,18.0,20.0,19.0
Potato White,2015-03-14,Kg,14.0,16.0,15.0
Onion Dry (Indian),2015-03-14,Kg,38.0,40.0,39.0
Carrot(Local),2015-03-14,Kg,20.0,25.0,22.5
Cabbage(Local),2015-03-14,Kg,10.0,14.0,12.0
Cauli Local,2015-03-14,Kg,16.0,20.0,18.0
Cauli Terai,2015-03-14,Kg,12.0,14.0,13.0
Raddish Red,2015-03-14,Kg,30.0,35.0,32.5
Raddish White(Local),2015-03-14,Kg,12.0,14.0,13.0
Brinjal Long,2015-03-14,Kg,50.0,55.0,52.5
Brinjal Round,2015-03-14,Kg,45.0,55.0,50.0
Cow pea(Long),2015-03-14,Kg,100.0,110.0,105.0
Green Peas,2015-03-14,Kg,50.0,55.0,52.5
French Bean(Local),2015-03-14,Kg,60.0,70.0,65.0
Sword Bean,2015-03-14,Kg,55.0,60.0,57.5
Bitter Gourd,2015-03-14,Kg,100.0,110.0,105.0
Bottle Gourd,2015-03-14,Kg,40.0,45.0,42.5
Pointed Gourd(Local),2015-03-14,Kg,100.0,110.0,105.0
Pumpkin,2015-03-14,Kg,25.0,30.0,27.5
Squash(Long),2015-03-14,Kg,18.0,22.0,20.0
Turnip,2015-03-14,Kg,35.0,40.0,37.5
Okara,2015-03-14,Kg,95.0,100.0,97.5
Sweet Potato,2015-03-14,Kg,45.0,50.0,47.5
Barela,2015-03-14,Kg,40.0,45.0,42.5
Arum,2015-03-14,Kg,35.0,40.0,37.5
Christophine,2015-03-14,Kg,28.0,30.0,29.0
Brd Leaf Mustard,2015-03-14,Kg,20.0,25.0,22.5
Spinach Leaf,2015-03-14,Kg,30.0,35.0,32.5
Cress Leaf,2015-03-14,Kg,35.0,40.0,37.5
Mustard Leaf,2015-03-14,Kg,25.0,30.0,27.5
Fenugreek Leaf,2015-03-14,Kg,45.0,50.0,47.5
Onion Green,2015-03-14,Kg,30.0,35.0,32.5
Bakula,2015-03-14,Kg,30.0,35.0,32.5
Yam,2015-03-14,Kg,30.0,32.0,31.0
Mushroom(Kanya),2015-03-14,Kg,90.0,100.0,95.0
Brocauli,2015-03-14,Kg,55.0,60.0,57.5
Sugarbeet,2015-03-14,Kg,50.0,60.0,55.0
Bauhania flower,2015-03-14,Kg,130.0,140.0,135.0
Red Cabbbage,2015-03-14,Kg,90.0,100.0,95.0
Lettuce,2015-03-14,Kg,55.0,60.0,57.5
Knolkhol,2015-03-14,Kg,35.0,40.0,37.5
Celery,2015-03-14,Kg,110.0,120.0,115.0
Parseley,2015-03-14,Kg,160.0,170.0,165.0
Fennel Leaf,2015-03-14,Kg,55.0,60.0,57.5
Mint,2015-03-14,Kg,190.0,200.0,195.0
Turnip A,2015-03-14,Kg,55.0,60.0,57.5
Tamarind,2015-03-14,Kg,100.0,110.0,105.0
Bamboo Shoot,2015-03-14,Kg,60.0,70.0,65.0
Tofu,2015-03-14,Kg,80.0,90.0,85.0
Gundruk,2015-03-14,Kg,170.0,180.0,175.0
Apple(Jholey),2015-03-14,Kg,100.0,110.0,105.0
Banana,2015-03-14,Doz,70.0,80.0,75.0
Lime,2015-03-14,Kg,300.0,400.0,350.0
Pomegranate,2015-03-14,Kg,210.0,220.0,215.0
Grapes(Green),2015-03-14,Kg,90.0,100.0,95.0
Orange(Nepali),2015-03-14,Kg,70.0,80.0,75.0
Water Melon(Green),2015-03-14,Kg,35.0,40.0,37.5
Sweet Orange,2015-03-14,Kg,70.0,80.0,75.0
Pineapple,2015-03-14,1 Pc,90.0,100.0,95.0
Cucumber(Local),2015-03-14,Kg,55.0,60.0,57.5
Jack Fruit,2015-03-14,Kg,80.0,90.0,85.0
Papaya(Nepali),2015-03-14,Kg,40.0,45.0,42.5
Mombin,2015-03-14,Kg,100.0,110.0,105.0
Sugarcane,2015-03-14,1 Pc,40.0,50.0,45.0
Kinnow,2015-03-14,Kg,50.0,60.0,55.0
Ginger,2015-03-14,Kg,75.0,85.0,80.0
Chilli Dry,2015-03-14,Kg,190.0,200.0,195.0
Chilli Green,2015-03-14,Kg,45.0,50.0,47.5
Capsicum,2015-03-14,Kg,70.0,80.0,75.0
Garlic Green,2015-03-14,Kg,55.0,60.0,57.5
Coriander Green,2015-03-14,Kg,30.0,40.0,35.0
Garlic Dry Chinese,2015-03-14,Kg,130.0,135.0,132.5
Garlic Dry Nepali,2015-03-14,Kg,90.0,100.0,95.0
Clive Dry,2015-03-14,Kg,110.0,120.0,115.0
Clive Green,2015-03-14,Kg,90.0,100.0,95.0
Fish Fresh,2015-03-14,Kg,210.0,220.0,215.0
Tomato Big(Nepali),2015-03-15,Kg,40.0,45.0,42.5
Tomato Small(Local),2015-03-15,Kg,30.0,35.0,32.5
Potato Red,2015-03-15,Kg,18.0,20.0,19.0
Potato White,2015-03-15,Kg,14.0,16.0,15.0
Onion Dry (Indian),2015-03-15,Kg,38.0,40.0,39.0
Carrot(Local),2015-03-15,Kg,20.0,25.0,22.5
Cabbage(Local),2015-03-15,Kg,10.0,14.0,12.0
Cauli Local,2015-03-15,Kg,16.0,20.0,18.0
Cauli Terai,2015-03-15,Kg,13.0,14.0,13.5
Raddish Red,2015-03-15,Kg,30.0,35.0,32.5
Raddish White(Local),2015-03-15,Kg,12.0,14.0,13.0
Brinjal Long,2015-03-15,Kg,50.0,55.0,52.5
Brinjal Round,2015-03-15,Kg,50.0,55.0,52.5
Cow pea(Long),2015-03-15,Kg,100.0,110.0,105.0
Green Peas,2015-03-15,Kg,50.0,55.0,52.5
French Bean(Local),2015-03-15,Kg,60.0,70.0,65.0
Sword Bean,2015-03-15,Kg,55.0,60.0,57.5
Bitter Gourd,2015-03-15,Kg,100.0,110.0,105.0
Bottle Gourd,2015-03-15,Kg,40.0,45.0,42.5
Pointed Gourd(Local),2015-03-15,Kg,100.0,110.0,105.0
Pumpkin,2015-03-15,Kg,25.0,30.0,27.5
Squash(Long),2015-03-15,Kg,18.0,22.0,20.0
Turnip,2015-03-15,Kg,35.0,40.0,37.5
Okara,2015-03-15,Kg,95.0,100.0,97.5
Sweet Potato,2015-03-15,Kg,45.0,50.0,47.5
Barela,2015-03-15,Kg,40.0,45.0,42.5
Arum,2015-03-15,Kg,35.0,40.0,37.5
Christophine,2015-03-15,Kg,28.0,30.0,29.0
Brd Leaf Mustard,2015-03-15,Kg,20.0,25.0,22.5
Spinach Leaf,2015-03-15,Kg,30.0,35.0,32.5
Cress Leaf,2015-03-15,Kg,35.0,40.0,37.5
Mustard Leaf,2015-03-15,Kg,25.0,30.0,27.5
Fenugreek Leaf,2015-03-15,Kg,45.0,50.0,47.5
Onion Green,2015-03-15,Kg,30.0,35.0,32.5
Bakula,2015-03-15,Kg,30.0,35.0,32.5
Yam,2015-03-15,Kg,30.0,32.0,31.0
Mushroom(Kanya),2015-03-15,Kg,90.0,100.0,95.0
Brocauli,2015-03-15,Kg,55.0,60.0,57.5
Sugarbeet,2015-03-15,Kg,50.0,60.0,55.0
Tomato Big(Nepali),2015-03-16,Kg,38.0,40.0,39.0
Tomato Small(Local),2015-03-16,Kg,40.0,44.0,42.0
Potato Red,2015-03-16,Kg,18.0,20.0,19.0
Potato White,2015-03-16,Kg,14.0,16.0,15.0
Onion Dry (Indian),2015-03-16,Kg,39.0,40.0,39.5
Carrot(Local),2015-03-16,Kg,25.0,30.0,27.5
Cabbage(Local),2015-03-16,Kg,10.0,14.0,12.0
Cauli Local,2015-03-16,Kg,16.0,20.0,18.0
Cauli Terai,2015-03-16,Kg,12.0,15.0,13.5
Raddish Red,2015-03-16,Kg,30.0,35.0,32.5
Raddish White(Local),2015-03-16,Kg,12.0,16.0,14.0
Brinjal Long,2015-03-16,Kg,25.0,30.0,27.5
Brinjal Round,2015-03-16,Kg,35.0,40.0,37.5
Cow pea(Long),2015-03-16,Kg,95.0,100.0,97.5
Green Peas,2015-03-16,Kg,50.0,55.0,52.5
French Bean(Local),2015-03-16,Kg,70.0,75.0,72.5
Sword Bean,2015-03-16,Kg,50.0,55.0,52.5
Bitter Gourd,2015-03-16,Kg,80.0,90.0,85.0
Bottle Gourd,2015-03-16,Kg,40.0,45.0,42.5
Pointed Gourd(Local),2015-03-16,Kg,90.0,100.0,95.0
Pumpkin,2015-03-16,Kg,25.0,30.0,27.5
Squash(Long),2015-03-16,Kg,16.0,20.0,18.0
Turnip,2015-03-16,Kg,35.0,40.0,37.5
Okara,2015-03-16,Kg,90.0,100.0,95.0
Sweet Potato,2015-03-16,Kg,35.0,40.0,37.5
Barela,2015-03-16,Kg,40.0,45.0,42.5
Arum,2015-03-16,Kg,35.0,40.0,37.5
Christophine,2015-03-16,Kg,25.0,30.0,27.5
Brd Leaf Mustard,2015-03-16,Kg,12.0,15.0,13.5
Spinach Leaf,2015-03-16,Kg,35.0,40.0,37.5
Cress Leaf,2015-03-16,Kg,35.0,40.0,37.5
Mustard Leaf,2015-03-16,Kg,20.0,25.0,22.5
Fenugreek Leaf,2015-03-16,Kg,55.0,60.0,57.5
Onion Green,2015-03-16,Kg,30.0,35.0,32.5
Bakula,2015-03-16,Kg,34.0,36.0,35.0
Yam,2015-03-16,Kg,28.0,30.0,29.0
Mushroom(Kanya),2015-03-16,Kg,80.0,100.0,90.0
Brocauli,2015-03-16,Kg,45.0,50.0,47.5
Sugarbeet,2015-03-16,Kg,50.0,60.0,55.0
Bauhania flower,2015-03-16,Kg,110.0,120.0,115.0
Red Cabbbage,2015-03-16,Kg,90.0,100.0,95.0
Lettuce,2015-03-16,Kg,30.0,40.0,35.0
Celery,2015-03-16,Kg,110.0,120.0,115.0
Parseley,2015-03-16,Kg,160.0,170.0,165.0
Fennel Leaf,2015-03-16,Kg,55.0,60.0,57.5
Mint,2015-03-16,Kg,190.0,200.0,195.0
Turnip A,2015-03-16,Kg,55.0,60.0,57.5
Tamarind,2015-03-16,Kg,100.0,110.0,105.0
Bamboo Shoot,2015-03-16,Kg,60.0,70.0,65.0
Tofu,2015-03-16,Kg,70.0,80.0,75.0
Gundruk,2015-03-16,Kg,160.0,170.0,165.0
Apple(Jholey),2015-03-16,Kg,110.0,120.0,115.0
Banana,2015-03-16,Doz,60.0,70.0,65.0
Lime,2015-03-16,Kg,300.0,500.0,400.0
Pomegranate,2015-03-16,Kg,200.0,210.0,205.0
Grapes(Green),2015-03-16,Kg,90.0,100.0,95.0
Orange(Nepali),2015-03-16,Kg,60.0,70.0,65.0
Water Melon(Green),2015-03-16,Kg,35.0,40.0,37.5
Sweet Orange,2015-03-16,Kg,70.0,80.0,75.0
Pineapple,2015-03-16,1 Pc,90.0,100.0,95.0
Cucumber(Local),2015-03-16,Kg,40.0,50.0,45.0
Jack Fruit,2015-03-16,Kg,60.0,70.0,65.0
Pear(Local),2015-03-16,Kg,190.0,200.0,195.0
Papaya(Nepali),2015-03-16,Kg,45.0,50.0,47.5
Mombin,2015-03-16,Kg,100.0,110.0,105.0
Sugarcane,2015-03-16,1 Pc,40.0,50.0,45.0
Kinnow,2015-03-16,Kg,50.0,60.0,55.0
Ginger,2015-03-16,Kg,70.0,80.0,75.0
Chilli Dry,2015-03-16,Kg,190.0,200.0,195.0
Chilli Green,2015-03-16,Kg,60.0,80.0,70.0
Capsicum,2015-03-16,Kg,80.0,90.0,85.0
Garlic Green,2015-03-16,Kg,45.0,50.0,47.5
Coriander Green,2015-03-16,Kg,50.0,60.0,55.0
Garlic Dry Chinese,2015-03-16,Kg,130.0,135.0,132.5
Garlic Dry Nepali,2015-03-16,Kg,90.0,100.0,95.0
Clive Green,2015-03-16,Kg,35.0,40.0,37.5
Fish Fresh,2015-03-16,Kg,210.0,220.0,215.0
Tomato Big(Nepali),2015-03-17,Kg,35.0,40.0,37.5
Tomato Small(Local),2015-03-17,Kg,40.0,45.0,42.5
Potato Red,2015-03-17,Kg,16.0,18.0,17.0
Potato White,2015-03-17,Kg,14.0,16.0,15.0
Onion Dry (Indian),2015-03-17,Kg,39.0,40.0,39.5
Carrot(Local),2015-03-17,Kg,25.0,30.0,27.5
Cabbage(Local),2015-03-17,Kg,12.0,16.0,14.0
Cauli Local,2015-03-17,Kg,15.0,20.0,17.5
Cauli Terai,2015-03-17,Kg,12.0,15.0,13.5
Raddish Red,2015-03-17,Kg,25.0,30.0,27.5
Raddish White(Local),2015-03-17,Kg,25.0,30.0,27.5
Brinjal Long,2015-03-17,Kg,28.0,30.0,29.0
Brinjal Round,2015-03-17,Kg,35.0,40.0,37.5
Cow pea(Long),2015-03-17,Kg,80.0,90.0,85.0
Green Peas,2015-03-17,Kg,50.0,55.0,52.5
French Bean(Local),2015-03-17,Kg,55.0,60.0,57.5
Sword Bean,2015-03-17,Kg,50.0,55.0,52.5
Bitter Gourd,2015-03-17,Kg,60.0,70.0,65.0
Bottle Gourd,2015-03-17,Kg,40.0,45.0,42.5
Pointed Gourd(Local),2015-03-17,Kg,70.0,80.0,75.0
Pumpkin,2015-03-17,Kg,25.0,30.0,27.5
Squash(Long),2015-03-17,Kg,18.0,22.0,20.0
Turnip,2015-03-17,Kg,45.0,50.0,47.5
Okara,2015-03-17,Kg,90.0,100.0,95.0
Barela,2015-03-17,Kg,40.0,45.0,42.5
Arum,2015-03-17,Kg,30.0,35.0,32.5
Christophine,2015-03-17,Kg,40.0,45.0,42.5
Brd Leaf Mustard,2015-03-17,Kg,15.0,20.0,17.5
Spinach Leaf,2015-03-17,Kg,35.0,40.0,37.5
Cress Leaf,2015-03-17,Kg,35.0,40.0,37.5
Mustard Leaf,2015-03-17,Kg,25.0,30.0,27.5
Fenugreek Leaf,2015-03-17,Kg,55.0,60.0,57.5
Onion Green,2015-03-17,Kg,30.0,35.0,32.5
Bakula,2015-03-17,Kg,30.0,35.0,32.5
Yam,2015-03-17,Kg,28.0,30.0,29.0
Mushroom(Kanya),2015-03-17,Kg,80.0,90.0,85.0
Asparagus,2015-03-17,Kg,600.0,700.0,650.0
Brocauli,2015-03-17,Kg,50.0,55.0,52.5
Sugarbeet,2015-03-17,Kg,60.0,70.0,65.0
Drumstick,2015-03-17,Kg,180.0,200.0,190.0
Bauhania flower,2015-03-17,Kg,100.0,120.0,110.0
Red Cabbbage,2015-03-17,Kg,60.0,70.0,65.0
Lettuce,2015-03-17,Kg,25.0,30.0,27.5
Celery,2015-03-17,Kg,110.0,120.0,115.0
Parseley,2015-03-17,Kg,160.0,170.0,165.0
Fennel Leaf,2015-03-17,Kg,55.0,60.0,57.5
Mint,2015-03-17,Kg,190.0,200.0,195.0
Turnip A,2015-03-17,Kg,55.0,60.0,57.5
Tamarind,2015-03-17,Kg,100.0,110.0,105.0
Bamboo Shoot,2015-03-17,Kg,60.0,70.0,65.0
Tofu,2015-03-17,Kg,70.0,75.0,72.5
Apple(Jholey),2015-03-17,Kg,100.0,110.0,105.0
Banana,2015-03-17,Doz,60.0,70.0,65.0
Lime,2015-03-17,Kg,400.0,500.0,450.0
Pomegranate,2015-03-17,Kg,190.0,200.0,195.0
Grapes(Green),2015-03-17,Kg,90.0,100.0,95.0
Orange(Nepali),2015-03-17,Kg,65.0,70.0,67.5
Water Melon(Green),2015-03-17,Kg,45.0,50.0,47.5
Sweet Orange,2015-03-17,Kg,70.0,80.0,75.0
Pineapple,2015-03-17,1 Pc,80.0,90.0,85.0
Cucumber(Local),2015-03-17,Kg,40.0,45.0,42.5
Jack Fruit,2015-03-17,Kg,55.0,60.0,57.5
Pear(Local),2015-03-17,Kg,190.0,200.0,195.0
Papaya(Nepali),2015-03-17,Kg,45.0,50.0,47.5
Mombin,2015-03-17,Kg,100.0,110.0,105.0
Sugarcane,2015-03-17,1 Pc,40.0,50.0,45.0
Kinnow,2015-03-17,Kg,50.0,55.0,52.5
Ginger,2015-03-17,Kg,70.0,80.0,75.0
Chilli Dry,2015-03-17,Kg,190.0,200.0,195.0
Chilli Green,2015-03-17,Kg,75.0,80.0,77.5
Capsicum,2015-03-17,Kg,80.0,90.0,85.0
Garlic Green,2015-03-17,Kg,45.0,50.0,47.5
Coriander Green,2015-03-17,Kg,40.0,50.0,45.0
Garlic Dry Chinese,2015-03-17,Kg,130.0,135.0,132.5
Garlic Dry Nepali,2015-03-17,Kg,90.0,100.0,95.0
Clive Green,2015-03-17,Kg,50.0,55.0,52.5
Fish Fresh,2015-03-17,Kg,210.0,220.0,215.0
Tomato Big(Nepali),2015-03-18,Kg,35.0,40.0,37.5
Tomato Small(Local),2015-03-18,Kg,40.0,45.0,42.5
Potato Red,2015-03-18,Kg,16.0,18.0,17.0
Potato White,2015-03-18,Kg,14.0,16.0,15.0
Onion Dry (Indian),2015-03-18,Kg,38.0,40.0,39.0
Carrot(Local),2015-03-18,Kg,20.0,25.0,22.5
